,question,answer,category,table_id
32,How many years did Joan Crawford was active carreer?,50 Years (1924–1974),actor,8
33,Who was the other half of Joan Crawford in 1937?,Franchot Tone,actor,8
34,How many years did Joan Crawford and Alfred Steele was married relatioship?,4 Years (from 1955 to 1959),actor,8
35,How long did each of Joan Crawford's marriages last?,four,actor,8
36,What was the the age when Hebar Pazardzhik originally retrired from his career?,Age of 39,wrestling,13
37,How many years ago did Hebar Pazardzhik debut his first match?,33 years ago,wrestling,13
38,For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,wrestling,13
39,How old was Steve Austin when he started his wrestling career?,25,wrestling,13
40,How many years elapsed between Steve Austin's first retirement and his return match?,19,wrestling,13
41,How old was Steve Austin when he began his professional wrestling career?,25 years old,wrestling,13
42,Who did Steve Austin marry in 1990?,Kathryn Burrhus,wrestling,13
43,How old was Steve Austin when he retired from professional wrestling?,39 years old,wrestling,13
44,Who was the spouse of Hebar Pazardzhik in 2002?,Debra Marshall,wrestling,13
45,How many years after the Ethiopian was first established did Mekelle become capital?,601,empire,22
46,The first prime minister of the Ethiopian Empire began when what was the state capital?,Addis Ababa,empire,22
47,Which was the capital of Ethiopia in 1880?,Mekelle,empire,22
48,How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3 years,empire,22
49,Who was the prime minister of Ethiopia in 1925?,Habte Giyorgis,empire,22
50,How many years did Ethiopian-Adal war was held?,14 Years,empire,22
51,Who was emperor when the empire was conquered by Italy?,Haile Selassie,empire,22
52,How long after the constitution was adopted was the monarchy abolished?,44 years,empire,22
53,Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,empire,22
54,How long after playing for Monterrey did Mohamed first manage the team?,15 years,footballer,36
55,How many teams did Antonio Mohamed manage between 2003 and 2006?,5,footballer,36
56,What team did Antonio Mohamed play for in 1990 season?,Huracán,footballer,36
57,How many years did Antonio Mohamed manage the team before the team he currently manages?,1 year,footballer,36
58,How many years did Antonio Mohamed was played for national team as member?,3 Years (1989-1991),footballer,36
59,Which team did Antonio Mohamed was manager in 2012?,Tijuana,footballer,36
60,How many teams did Tijuana was worked as manager from 2003-2020?,16 Teams,footballer,36
61,How many teams in his senior career did Mohamed play for in the 90's?,6,footballer,36
62,What team in his senior career did Mohamed play for the year he played for the  Argentina U20 national team?,Huracán,footballer,36
63,How many goals did Zinedine Zidane was posted for Netherlands National team from 1988-2006?,35 goals,footballer,40
64,How many years did Zinedine Zidane was played senior career?,17 Years played,footballer,40
65,How many years did Zinedine Zidane spend in the youth division?,9,footballer,40
66,When did Zinedine Zidane's career start as a senior?,1988,footballer,40
67,What was the first team that Zinedine Zidane was associated with as a senior?,Cannes,footballer,40
68,How much longer was Zidane's senior career than his youth career?,9 years,footballer,40
69,Which team did Zinedine Zidane was managed in 2020?,Real Madrid,footballer,40
70,How long after playing for Real Madrid did Zidane become its assistant manager?,7 years,footballer,40
71,What team in his senior career did Zidane play for the year he won the  FIFA World Cup?,Juventus,footballer,40
72,How many years did Roy Emerson play at an amateur level until he turned pro?,15 years,tennis,50
73,How old was Roy Emerson when he began to play professionally?,32 years old,tennis,50
74,When was the last time that Roy Emerson won Wimbleton?,1971,tennis,50
75,How long after winning a doubles tournament did Roy Emerson win a singles tournament?,2 years,tennis,50
76,How many Davis Cups did Roy Emerson compete in after he turned pro?,4,tennis,50
77,How many total years of amateur playing and pro playing did Roy Emerson have?,30,tennis,50
78,When was the first time that Roy Emerson won the Davis Cup?,1959,tennis,50
79,How long did it take Roy Emereson to go from amateur to pro?,15 years,tennis,50
80,How old was Roy Emerson when he retired from playin professionally?,47 years old,tennis,50
81,When did Roy Emerson first win a Grand Slam Singles Tournament?,1961,tennis,50
82,How long after turning pro did Roy Emerson retire?,15 years,tennis,50
83,Which Grand Slam tournament did Emerson win the first year he won the Davis Cup team competition?,US Open,tennis,50
84,When was the most recent time that Roy Emerson won the Australian Open?,1969,tennis,50
85,How old was Roy Emerson when he first won the French Open Doubles?,27,tennis,50
86,How many times did Emerson win multiple Grand Slam doubles in a single year?,3,tennis,50
87,What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,tennis,50
88,How long did Roy Emerson play in the amateur league before going professional?,15 years,tennis,50
89,How long did Roy Emerson play professionally?,15 years,tennis,50
90,How many years were between when Nicklaus first won the U.S. Open and last won the Masters Tournament?,24,golf,66
91,How many championships and awards did Nicklaus win in 1975?,4,golf,66
92,What was the most recent award that Jack Nicklaus won?,Congressional Gold Medal,golf,66
93,How long after his marriage did Nicklaus turn professional?,1 year,golf,66
94,When was the first time that Jack Nicklaus won a Masters Tournament?,1963,golf,66
95,How many years after turning pro did Jack Nicklaus win a Masters Tournament?,2,golf,66
96,How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2 years,golf,66
97,How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15 years,golf,66
98,What was the last year that Jack Nicklaus won a U.S. Open?,1980,golf,66
99,How many years were between the time Diegel first won the PGA Championship and when he achieved T16 at the Master's?,6,golf,68
100,How many years before Diegel died was the picture taken?,19,golf,68
101,How long was Leo Diegel married?,17 years,golf,68
102,How long after Diegel started his pro career did he marry Violet Bird Diegel?,18 years,golf,68
103,What was the last competition that Leo Diegel won?,Masters Tournament,golf,68
104,How many years after winning his first competition did Leo Diegel pass away?,31,golf,68
105,Who was the other half of Leo Diegel in 1940?,Violet Bird Diegel,golf,68
106,How many times did Leo Diegel was won the PGA Championship from 1916?,"2 Times (1928,1929)",golf,68
107,How many years ago did Leo Diegel was died?,71 Years ago,golf,68
108,"Which did Sam Snead win first, a Masters tournament, or a PGA tournament?",PGA,golf,70
109,How many years had Sam Snead been playing professionally when he won the Masters?,15 years,golf,70
110,What year did Sam Snead begin playing professionally?,1934,golf,70
111,"What happened first, Sam Snead's marriage or career?",career,golf,70
112,How many years separate the time Sam Snead began playing professionally and his death?,68 years,golf,70
113,How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,golf,70
114,How many championships and awards did Snead win in 1949?,5,golf,70
115,How long after starting his pro career did Snead win his first championship?,8 years,golf,70
116,How old was Sam Snead when he turned professional?,32,golf,70
117,What year was Chuck Howley drafted into the NFL?,1958,rugby,74
118,How many years did Chuck Howley play for the Los Raiders?,12,rugby,74
119,What was the total number of years that Chuck Howley was a 5× First-team All-Pro?,4,rugby,74
120,How many times did Chuck Howley play in the Pro Bowl when he was with the Raiders?,6,rugby,74
121,How old was Chuck Howley when his NFL career began?,22,rugby,74
122,What team did Chuck Howley play for the year he made the Second-team All-Pro?,Raiders,rugby,74
123,What team did Chuck Howley play for first?,Chicago Bears,rugby,74
124,What team did Chuck Howley end his career playing for?,Raiders,rugby,74
125,When was the last year that Chuck Howley played in the Pro Bowl?,1971,rugby,74
126,During what year did Manning receive the most awards or highlights?,2003,rugby,75
127,"What career highlight did Manning achieve the year had 1,219 passing yards?",Pro Bowl,rugby,75
128,How many years longer did Manning play for the New York Giants than Ole Miss?,11,rugby,75
129,In 2011 how many passing yards in a single postseason did Eli Manning have?,"1,219 yards",rugby,75
130,What were the number of years that Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12 years,rugby,75
131,What year was Eli Manning drafted into the NFL?,2004,rugby,75
132,How many years did Eli Manning play for the New York Giants?,15,rugby,75
133,How many years did Eli Manning attend school at Ole Miss?,4 years,rugby,75
134,How many years after Eli Manning attended Ole Miss did he win the Bart Starr award?,21 years,rugby,75
135,What college did James Worthy attend in 1980?,North Carolina,nba,81
136,How many years did James Worthy play professionally?,12 years,nba,81
137,When was the last time that James Worthy played in an NBA All Stars game?,1992,nba,81
138,When was the first time that James worthy was chosen as an All-American player?,1978,nba,81
139,For how many years did James Worthy play for the NBA?,12,nba,81
140,How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,nba,81
141,How many awards and highlights did Worthy have in the same year as the last year he was in college?,5,nba,81
142,How long after Worthy's NBA career began did he win his first NBA championship?,3 years,nba,81
143,How long had James Worthy been playing professionally when he won the NCAA Championship?,1,nba,81
144,How many years ago did Nate Archibald was received Basketball Hall of Fame as player?,16 Years ago (2006),nba,83
145,What was the first college Nate Archibald attended?,Arizona Western,nba,83
146,What team did Nate Archibald play for following the Boston Celtics?,Milwaukee Bucks,nba,83
147,How many awards did Nate Archibald win in 1973?,two,nba,83
148,How many years did Nate Archibald play professionally for?,14,nba,83
149,What was the last team that Nate Archibald played for in the NBA?,Bucks,nba,83
150,When was the last time that Nate Archibald was an NBA All Star?,1982,nba,83
151,How many years did Nate Archibald was active carreer since 1970?,14 Years,nba,83
152,Which professional team did Nate Archibald was played in 1980?,Boston Celtics,nba,83
153,Which team did Scottie Pippen was in 1990?,Chicago Bulls,nba,89
154,What was the age when Scottie Pippen won gold medal in 1996 Atlanta Olympic Games?,Age of 31,nba,89
155,How many years did Pippen play between his stints in Chicago?,Five,nba,89
156,For which team did Pippen play for when he won his last award?,Portland Trail Blazers,nba,89
157,How old was Pippwn when he won his first Olympic gold?,26,nba,89
158,What team was Pippen playing for the year he won a gold medal at the Atlanta Olympics?,Chicago Bulls,nba,89
159,How long after Pippen entered the NBA draft did was he awarded NBA steals leader?,8 years,nba,89
160,How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,nba,89
161,How many years ago did Scottie Pippen awarded NBA steals leader?,27 Years ago (1995),nba,89
162,Did Carolina Albuquerque win a gold in Japan before winning one in Winnipeg?,no,volleyball,93
163,Did Carolina Albuquerque compete in the Pan American games before the Olympic Games?,yes,volleyball,93
164,How many gold medals had Carolina Albuquerque won by the time she got a silver medal in Rio de Janeiro?,4,volleyball,93
165,What was the first year that Carolina Albuquerque competed on the national team?,1997,volleyball,93
166,How many years separate Carolina Albuquerque's silver medals in the the World Grand Prix and the World Championship?,7,volleyball,93
167,How long after her first gold medal in any international competition did Carolina Albuquerque win a gold in Olympics?,9 years,volleyball,93
168,In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,volleyball,93
169,How many gold medals had Carolina Albuquerque won by the year 2004?,1,volleyball,93
170,What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",volleyball,93
171,What was the age when Thiago Alves won first medal in Olympic Games 2012?,Age of 26,volleyball,96
172,Which team did Thiago Alves played in 2021?,Montes Claros Vôlei,volleyball,96
173,What team did Thiago Alves play for the longest?,Grêmio Náutico União,volleyball,96
174,What teams did Thiago Alves play for when he was 25 years old?,Panasonic Panthers and SESI-SP,volleyball,96
175,How many gold medals did Thiago Alves throughout his career?,9,volleyball,96
176,Where did Thiago Alves win the silver medal in 2012 Olympics?,London,volleyball,96
177,How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?,4 years,volleyball,96
178,How old was Thiago Alves when he won gold in the Pan American games in 2011?,25 years,volleyball,96
179,How many years did Thiago Alves played for Grêmio Náutico União from 2000?,3 Years (2000-2003),volleyball,96
180,What year did Matt Biondi win 4 gold medals in the Summer Universiade games?,1985,swimming,115
181,How many years after winning his first medal in an Olympic Game did Matt Biondi win a medal in his last Olympic Game?,8,swimming,115
182,How many gold medals did Matt Biondi win in the 1988 Seoul Olympics?,5,swimming,115
183,What year did Matt Biondi win his only bronze in the Olympics?,1988,swimming,115
184,How many gold medals won by Matt Biondi in Olympics 1988?,5 Gold Medals,swimming,115
185,How many gold medals won by Matt Biondi in his career upto 2022 for 100m freestyle ?,7 Gold Medals,swimming,115
186,How many gold medals won by Matt Biondi in World Championships?,6 Gold medals,swimming,115
187,When was the last time that Matt Biondi won a medal in the Olympic Games?,1992,swimming,115
188,When did Matt Biondi first win a gold at the Olympic Games?,1984,swimming,115
189,Where did Tom Jager last win a medal in the World Championships?,Perth,swimming,118
190,How many 50 m freestyle gold medals won by Tom Jager in his career upto 2022?,Five,swimming,118
191,How many 4x100 m freestyle medals won by Tom Jager in his career upto 2022?,11 medals,swimming,118
192,How many medals won by Tom Jager in Olympics 1988?,3 medals (2 Gold + 1 Silver),swimming,118
193,How many medals did Tom Jager win in the Olympics in the 80s?,five,swimming,118
194,In what year did Jager win the most overall Olympic medals?,1988,swimming,118
195,Where did Tom Jager first win a medal in the Olympics?,Los Angeles,swimming,118
196,In what city did Jager win his last gold medal in international competitions?,Mar del Plata,swimming,118
197,How many years were between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?,7,swimming,118
198,How old was Bayinnaung we he began his reign as Suzerain of Siam?,48,emperor,119
199,How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?,10,emperor,119
200,How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation at Toungoo?,9,emperor,119
201,How many days after Bayinnaung died did they bury him?,5,emperor,119
202,In what year did Bayinnaung first reign?,1565,emperor,119
203,How many years did Bayinnaung was ruled the Suzerain of Siam?,17 Years,emperor,119
204,Who was the Suzerain of Lan Xang in 1582?,Nanda,emperor,119
205,Who was the king of Suzerain of Lan Na in 1560?,Mekuti,emperor,119
206,Where was the first coronation of Bayinnaung?,Toungoo,emperor,119
207,How old was Peter III when he became King of Aragon and Valencia Count of Barcelona?,37 years old,emperor,122
208,How long did Peter III rule as King of Aragon and Valencia Count of Barcelona?,9 years,emperor,122
209,What was the last position held by Peter III,King of Aragon and Valencia Count of Barcelona,emperor,122
210,When did Peter III assume his first role?,4 September 1282,emperor,122
211,What was the first area ruled by Peter III,Sicily,emperor,122
212,How many years before the his death did Peter III begin his reign as King of Sicily?,3,emperor,122
213,How many years did Peter III reign as King of Sicily?,3 years,emperor,122
214,How much longer was Peter III's reign as King of Aragon and Valencia Count of Barcelona than as King of Sicily?,6 years,emperor,122
215,How old was Peter III when he started his reign as King of Aragon and Valencia Count of Barcelona?,37,emperor,122
216,In what city did Chen Yufei win a gold medal the year of her highest ranking?,Nanning,badminton,129
217,What city did Chen Yufei compete in both the Asian Junior Championships and the Uber Cup?,Bangkok,badminton,129
218,How many gold medals has Chen Yufei won in mixed team competition?,9,badminton,129
219,Since 2013 what year did Chen Yufei not win a medal in badminton?,2021,badminton,129
220,Who is the coach of Chen Yufei in 2021?,Luo Yigang,badminton,129
221,How many gold medals won by Chen Yufei in Asian Junior Championships since 2013?,5 Gold medals,badminton,129
222,Which country did Chen Yufei was represented in 2020 Tokyo Olympic Games?,China,badminton,129
223,In what year did Chen Yufei win the most medals?,2016,badminton,129
224,How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,badminton,129
225,How many years ago did Shi Yuqi achived highest rank?,5 Years ago (2017),badminton,166
226,In what year did Shi Yuqi win the most gold medals?,2014,badminton,166
227,In what city did Shi Yuqi win a bronze medal the year of his highest ranking?,Ho Chi Minh,badminton,166
228,How many years separate Yuqi's silver medal at the World Championship and his silver at the Asian Junior Championships?,6,badminton,166
229,When was the first time that Shi Yuqi won a medal in the Asian Junior Championships?,2012,badminton,166
230,How many medals has Shi Yuqi won after 2012?,20,badminton,166
231,When was the most recent year in which Shi Yuqi won a medal?,2021,badminton,166
232,Which country did Shi Yuqi was represented in 2014 Youth Olympic Games?,China,badminton,166
233,How many Mixed Team gold medals won by Shi Yuqi in Asian Junior Championships from 2012?,"Two (2013, 2014)",badminton,166
234,How many gold medals did Wang Xiaoli win the year she was ranked number 1?,2,badminton,174
235,In what year did Wang Xiaoli win the most bronze medals?,2006,badminton,174
236,How many years separate Wang Xiaoli's gold medal at the London World Championship and her gold medal at the Asian Junior Championships?,5,badminton,174
237,When was the most recent time that Wang Xiaoli received a medal in the Asian Junior Championships?,2007,badminton,174
238,When was the first time that Wang Xiaoli won a medal in the World Championships?,2010,badminton,174
239,How many times in 2009 did Wang Xiaoli receive a medal in the East Asian Games?,2,badminton,174
240,How many years ago did Wang Xiaoli achived Highest ranking?,8 Years ago,badminton,174
241,How many gold medals won by Wang Xiaoli in Olympic games from 2011?,Two,badminton,174
242,What was the age when Wang Xiaoli won first gold medal in Asian Junior Championships 2006?,Age of 17,badminton,174
243,How many years did B-24 Skua was in active service as bomber/fighter?,3 Years,aircraft,226
244,How many B-24 Skua was built in between 1937-1941?,192,aircraft,226
245,How many years ago did B-24 Skua was first flighted?,85 Years ago,aircraft,226
246,What year was the B-24 Skua introduced?,1938,aircraft,226
247,How many years was it after the first flight was the B-24 Skua introduced?,1 year,aircraft,226
248,How many years did the B-24 Skua fly before it was retired?,8 years,aircraft,226
249,How much longer was the time between when the B-24 Skua was withdrawn from the front line and withdrawn from other duties than the first flight and the introduction?,3 years,aircraft,226
250,How many years were between when the B-24 Skua was introduced and it was withdrawn from the front line?,3,aircraft,226
251,How long after the first flight of the B-24 Skua was it withdrawn from other duties?,8 years,aircraft,226
252,How many years passed between first flight and introduction of JF-17 Thunder?,4 years,fighter,229
253,How many years did JF-17 Thunder was introduced after first flight in 2003?,4 Years after,fighter,229
254,How many years did JF-17 Thunder is produced in pakistan?,14 Years,fighter,229
255,How long in years has JF-17 Thunder been used in Pakistan?,14,fighter,229
256,How many years has JF-17 Thunder been used in China?,15,fighter,229
257,In what country was the A JF-17 first produced the same year as it was introduced?,China,fighter,229
258,How many A JF-17 jets were produced 15 years after its introduction?,164,fighter,229
259,Who is the primary users of JF-17 Thunder in 2022?,"Pakistan Air, Force Myanmar Air Force, Nigerian Airforce",fighter,229
260,How many years after its first flight was the A JF-17 produced in Pakistan?,4,fighter,229
261,How many countries become Belarus' main export partners in 2021?,9,economy,235
262,How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,economy,235
263,Who was Joe Biden married to when he was first elected to the Senate?,Unmarried,economy,235
264,What was the most imported and exported goods from Belarus based on 2017 estimates?,Manufacturers,economy,235
265,Who was the better half of Joe Biden in 1970?,Neilia Hunter,economy,235
266,"What is the population of the  Minsk, the financial capital of Belarus in the year 2020?","9,408,350 (1 January 2020)",economy,235
267,How many Indians live in Belarus?,171 Indian nationals,economy,235
268,"What is the fiscal year of Minsk, the financial capital of Belarus?",Calendar year,economy,235
269,Which field of employment contributes the most to the Belarusian economy based on 2015 estimate?,services,economy,235
270,How long did it take for the inflation to reduce 0.8% in the economy of France?,1 year,economy,243
271,In how many years did Human Development Index of the economy of France grow by 0.089 points?,1 year,economy,243
272,What percentage of France's exports go to Germany and Spain combined?,28.7%,economy,243
273,Was the rate of inflation in France higher in 2020 or 2018?,2020,economy,243
274,How much did France's HDI increase from 2019 to 2020?,0.089.,economy,243
275,How much greater was the Economy of France's average gross salary (2017) over the average net salary (2022)?,"€10,996",economy,243
276,"Which is greater, the Economy of France's 2020 foreign reserves or its 2019 public debt?",2019 public debt,economy,243
277,"How much greater was the Economy of France's GDP, PPP, over GDP, nominal, in 2022?",$0.291 trillion,economy,243
278,How long after the economic aid of $9.50 billion was the revenues of the French economy 52.6% of GDP?,3 years,economy,243
279,What was the dollar value of foodstuffs imports in Japan in 2019?,73.47 billion,economy,248
280,How much FDI stock in total did japan have in 2019?,2.168 trillion,economy,248
281,What is the difference in the GDP growth of Japan between 2020 and 2021?,0.4%,economy,248
282,What is the main Labor force of Japan in 2018?,Services,economy,248
283,Who is the main export partner of Japan in 2021?,China  22.1%,economy,248
284,What were the exports for Japan in 2021?,$728.931 billion,economy,248
285,What day does Japan's fiscal year end?,31 March,economy,248
286,What is second most imported good of Japan in 2021?,Mineral Fuels 16.6%,economy,248
287,What day does Japan's fiscal year begin?,1 April,economy,248
288,What was the population of Malaysia in 2022?,"33,871,431",economy,250
289,"On May 29, 2022 how much money did Malaysia have in Foreign reserves in US dollars?",$112.8 billion,economy,250
290,What country made up 30.5% of Malaysia's import partners in 2022?,Taiwan,economy,250
291,What percent was unemployment in Malaysia four years after the year its Gini coefficient was 42.8?,3.6,economy,250
292,"How many years are between the year Malaysia's nominal GDP rank was 34th and the year its PPP GDP per capita was $32,901?",0,economy,250
293,What was Malaysia's estimated nominal GDP per capita rank the year after its exports was estimated at $280 billion?,84th,economy,250
294,Who is the second most export partner of Malaysia in 2021?,Singapore(+) 14.8%,economy,250
295,What is the FDI stock value both local and Abroad in 2017?,268 billion,economy,250
296,What is the percentage of change of export partner of malaysia between 2021-2022?,3.5 % (+),economy,250
297,How many days has it been since Horacio Rosatti became President of the Supreme Court of Argentina?,283,court,253
298,Who is the president of Supreme Court of Argentina in 1 January 2022?,Horacio Rosatti,court,253
299,How many years ago did Supreme Court of Argentina Established?,159 Years ago,court,253
300,How many days ago did Carlos Rosenkrantz in office of the vice president of Supreme Court of Argentina?,271 days ago,court,253
301,How many months has it been since the Supreme Court of Argentina been?,1913,court,253
302,"If a judge is appointed at the age of 50, how many years may they serve before a five-year extension is required?",25 years,court,253
303,How old did the Supreme Administrative Court turn the year Anna Sporrer became Vice President?,138 years,court,254
304,How many years ago Supreme Administrative Court was established?,146,court,254
305,Who is the vice president of Supreme Administrative Court when Rudolf Thienel was president in 2015?,Anna Sporrer,court,254
306,Who is the Vice President of Supreme Administrative Court in 2015?,Anna Sporrer,court,254
307,How long has Rudolf Thienel been President of Supreme Administrative Court?,8 years,court,254
308,How long after its establishment did Supreme Administrative Court have Rudolf Thienel as its President?,138 years,court,254
309,Who is the president of Supreme Administrative Court in 2020?,Rudolf Thienel,court,254
310,How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?,138 years,court,254
311,How many years after Rudolf Thienel became President did Anna Sporrer became Vice President?,zero,court,254
312,Who is the Deputy President of Supreme Court of Israel in May 2022?,Uzi Vogelman,court,257
313,How many years did Supreme Court of Israel was established?,74 years,court,257
314,Who is the president of Supreme Court of Israel in 2019?,Esther Hayut,court,257
315,How much longer will Esther Hayut's term as president be than Uzi Vogelman's term as deputy president when their lead positions end?,4 years,court,257
316,How many years between when Uzi Vogelman term as deputy president begins and when his Jurist term ends?,2,court,257
317,How long after the Supreme Court of Israel was established did Esther Hayut become president?,69 years,court,257
318,What is the number of other positions in the Supreme Court of Israel than the ones' Hayut and Vogelman have?,13,court,257
319,For approximately how many more years has Esther Hayut been with the Supreme Court of Israel vs Uzi Vogelman?,5,court,257
320,How many years later did Esther Hayut become President after the start of Supreme Court of Israel?,69,court,257
321,How many total wins did Casey Mears accumulate in NASCAR?,Two,martial artist,264
322,How many years ago did Casey Mears last participated in IndyCar Series?,21 Years ago (2001),martial artist,264
323,How many years ago did Casey Mears received the award of Coca-Cola 600 winner?,15 Years ago (2007),martial artist,264
324,How many years did Casey Mears participated in NASCAR Xfinity Series?,17 Years (2001-2017),martial artist,264
325,What was the last race that Casey Mears ran in the Champ Car Series in 2001?,Marlboro 500,martial artist,264
326,How many years did Casey Mears career last in the Champ Car series?,2 years,martial artist,264
327,What year did Casey Mears have his first Daytona 500 race?,2003,martial artist,264
328,How many years did it take for Mears to win a NASCAR Cup Series race?,Four,martial artist,264
329,What state have all four of his debut and final races in NASCAR series' occured in?,Florida,martial artist,264
330,How many top 10 NASCAR finishes does Cody Ware have over all series?,2,racing,265
331,How many different NASCAR series has Cody Ware competed in?,4,racing,265
332,How old was Cody Ware when he debut in the NASCAR Cup Series?,22 years old,racing,265
333,How many years did Cody Ware race in the NASCAR Xfinity Cup Series?,7 years,racing,265
334,How many years ago did Cody Ware won Lamborghini Super Trofeo North America Rookie of the Year 2014?,8 Years ago,racing,265
335,What was the age when Cody Ware participated first race in NASCAR PEAK Mexico Series 2014?,Age of 19,racing,265
336,How many races particiapted by Cody Ware in NASCAR Xfinity Series since 2014?,28 races,racing,265
337,How old was Cody Ware when he competed in the NASCAR PEAK Mexico Series?,19 years old,racing,265
338,What year did Cody Ware race for his first NASCAR Cup series race?,2017,racing,265
339,How many years ago did Tony Stewart was awarded IROC champion?,16 Years ago (2006),racing,272
340,What was the age when Tony Stewart first participated in IndyCar Series career?,Age of 21,racing,272
341,What year did Tony Stewart win his first NASCAR Cup Series Race?,2002,racing,272
342,How many major American series' has Stewart won a race in?,Four,racing,272
343,At what age was Stewart inducted into the NASCAR Hall of Fame?,49,racing,272
344,How many total top 10s in any NASCAR series does Stewart have?,354,racing,272
345,What year did Tony Stewart win his last NASCAR Series Cup Race?,2016,racing,272
346,How old was Tony Stewart when he won his first 2002 NASCAR Series Race?,31 years old,racing,272
347,How many times did  Tony Stewart wins NASCAR Cup Series from 1999-2016?,49 wins,racing,272
348,How many medals won by B. J. Neufeld for Manitoba from 2007 to present?,Two,curling,281
349,How many total medals has B.J. Neufeld win in all Tim Horton Brier events?,4,curling,281
350,How old was B. J. Neufeld when he received his last medal?,36,curling,281
351,Where did B. J. Neufeld receive his most recent medal?,Lethbridge,curling,281
352,When was the last time that B. J. Neufeld won any type of medal?,2022,curling,281
353,How many years has B.J. Neufeld been associated with a member association?,15 years,curling,281
354,How many years ago did B. J. Neufeld was top ranked in CTRS?,8 Years ago,curling,281
355,Which member association did B.J. Neufeld have when he won the Canadian Open?,Manitoba,curling,281
356,Which team did B. J. Neufeld was associated in 2019?,Alberta,curling,281
357,When was the first time that Dawn McEwen made an appearance at the World Championships?,2008,curling,288
358,When was the first time that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?,2008,curling,288
359,At what competition did Dawn McEwen get her most recent medal?,Scotties Tournament of Hearts,curling,288
360,How old was Dawn McEwen when she won the gold at the 2014 Sochi Olympics?,34 years old,curling,288
361,What year did Dawn McEwen make her first Olympic appearance?,2014,curling,288
362,What medal did Dawn McEwen win in 2008 World Championships in Vernon?,gold,curling,288
363,How many years did Dawn McEwen played for  Ontario from 2003?,Four Years,curling,288
364,How many times did Dawn McEwen was appeared in Olympic games from 2014?,"Two Times (2014, 2022)",curling,288
365,How many gold medals won by Dawn McEwen in Scotties Tournament of Hearts representing Manitoba from 2008?,Five Gold Medals,curling,288
